Collection State Code,Year,Month,Day,Collection Site Code,Commodity Code,Analyzing Lab Code,Source ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
WI,02,07,15,0105,AP,WA1,,AP,157,Thiabendazole,B,0.55,0.03,M,M,,,M,O,550,15,10.0
WI,02,07,15,0119,AP,WA1,,AP,157,Thiabendazole,B,1.4,0.03,M,M,,,M,O,550,15,10.0
WI,02,08,19,0118,AP,WA1,,AP,042,Azinphos methyl,C,0.013,0.008,M,D,M,Q,,O,550,2,1.5
WI,02,09,16,0108,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.69,0.02,M,MO,,,H,O,553,7,10
WI,02,09,16,0118,AP,WA1,,AP,042,Azinphos methyl,C,0.032,0.008,M,D,M,,M,O,550,2,1.5
CA,02,04,02,0152,AS,CA1,,AS,083,O-Phenylphenol,I,0.033,0.01,M,MO,,V,H,O,550,7,NT
MD,02,05,22,0021,AS,CA1,,AS,902,Endosulfan sulfate,A,0.039,0.007,M,D,M,V,M,O,551,5,NT
MI,02,05,20,0008,AS,FL1,,AS,102,Carbaryl,E,0.11,0.01,M,L,,,M,O,553,61,10
NY,02,06,18,0254,AS,FL1,,AS,102,Carbaryl,E,0.02,0.01,M,L,,,M,O,553,61,10
OH,02,01,28,0104,AS,FL1,,AS,159,Methomyl,E,0.13,0.02,M,L,,,M,O,553,61,2
TX,02,01,28,0030,AS,FL1,,AS,159,Methomyl,E,0.12,0.02,M,L,,,M,O,553,61,2
WI,02,03,25,0119,AS,FL1,,AS,129,Linuron,A,0.2,0.0075,M,D,,,M,O,551,60,7.0
WI,02,05,28,0108,AS,FL1,,AS,134,DCPA,A,0.004,0.0023,M,D,,QV,M,O,551,60,NT
AZ,02,02,25,4024,BA,US2,S,BA,902,Endosulfan sulfate,A,0.034,0.0003,M,D,,,H,O,999,65,0.2
CA,02,07,10,0001,AC,OH1,,AC,157,Thiabendazole,B,0.13,0.03,M,D,,,M,O,15,16,10.0
CA,02,07,10,0112,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,07,10,0112,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
CA,02,07,10,0151,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.061,0.01,M,MO,,,M,O,15,7,10
CA,02,07,10,0300,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,07,10,0316,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.042,0.01,M,MO,,,M,O,15,7,10
CA,02,07,10,0328,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,07,10,0450,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.06,0.01,M,MO,,,M,O,15,7,10
CA,02,08,14,0112,AC,OH1,,AC,157,Thiabendazole,B,0.16,0.03,M,D,,,M,O,15,16,10.0
CA,02,08,14,0146,AC,OH1,,AC,157,Thiabendazole,B,0.32,0.03,M,D,,,M,O,15,16,10.0
CA,02,08,14,0150,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,08,14,0328,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,08,14,0450,AC,OH1,,AC,157,Thiabendazole,B,0.32,0.03,M,D,,,M,O,15,16,10.0
CA,02,09,11,0000,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,09,11,0001,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,09,11,0112,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.067,0.01,M,MO,,,M,O,15,7,10
CA,02,09,11,0112,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
CA,02,09,11,0150,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.12,0.01,M,MO,,,M,O,15,7,10
CA,02,09,11,0151,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,09,11,0273,AC,OH1,,AC,157,Thiabendazole,B,0.33,0.03,M,D,,,M,O,15,16,10.0
CA,02,09,11,0467,AC,OH1,,AC,157,Thiabendazole,B,0.36,0.03,M,D,,,M,O,15,16,10.0
CA,02,10,23,0001,AC,OH1,,AC,157,Thiabendazole,B,0.13,0.03,M,D,,,M,O,15,16,10.0
CA,02,10,23,0151,AC,OH1,,AC,157,Thiabendazole,B,0.18,0.03,M,D,,,M,O,15,16,10.0
CA,02,10,23,0363,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,10,23,0412,AC,OH1,,AC,157,Thiabendazole,B,0.56,0.03,M,D,,,M,O,15,16,10.0
CA,02,10,24,0319,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
CA,02,10,24,0319,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.016,0.01,M,MO,,,M,O,15,7,10
CA,02,10,28,0146,AC,OH1,,AC,157,Thiabendazole,B,0.23,0.03,M,D,,,M,O,15,16,10.0
CA,02,11,20,0000,AC,OH1,,AC,157,Thiabendazole,B,0.11,0.03,M,D,,,M,O,15,16,10.0
CA,02,11,20,0000,AC,OH1,,AC,102,Carbaryl,E,0.075,0.01,M,P,,,H,O,15,12,10
CA,02,11,20,0001,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,11,20,0146,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.041,0.01,M,MO,,,M,O,15,7,10
CA,02,11,20,0152,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.039,0.01,M,MO,,,M,O,15,7,10
CA,02,11,20,0319,AC,OH1,,AC,157,Thiabendazole,B,0.4,0.03,M,D,,,M,O,15,16,10.0
CA,02,11,20,0320,AC,OH1,,AC,157,Thiabendazole,B,0.61,0.03,M,D,,,M,O,15,16,10.0
CA,02,11,20,0407,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.084,0.01,M,MO,,,M,O,15,7,10
CA,02,11,21,0412,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.05,0.01,M,MO,,,M,O,15,7,10
CA,02,12,18,0273,AC,OH1,,AC,157,Thiabendazole,B,0.28,0.03,M,D,,,M,O,15,16,10.0
CA,02,12,18,0412,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.056,0.01,M,MO,,,M,O,15,7,10
CA,02,12,19,0328,AC,OH1,,AC,102,Carbaryl,E,0.046,0.01,M,P,,,H,O,15,12,10
CO,02,08,19,0013,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CO,02,09,16,0007,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.069,0.01,M,MO,,,M,O,15,7,10
FL,02,08,12,0052,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
FL,02,10,14,0048,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.04,0.01,M,MO,,,M,O,15,7,10
FL,02,10,14,0048,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
FL,02,11,12,0049,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
FL,02,12,09,0049,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
MD,02,12,18,0005,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
MI,02,07,22,0008,AC,OH1,,AC,157,Thiabendazole,B,0.25,0.03,M,D,,,M,O,15,16,10.0
MI,02,08,26,0027,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
MI,02,08,26,0084,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
MI,02,09,23,0027,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
MI,02,09,23,0027,AC,OH1,,AC,171,Dimethoate,C,0.015,0.009,M,D,,Q,M,O,15,2,2
MI,02,10,28,0027,AC,OH1,,AC,157,Thiabendazole,B,0.16,0.03,M,D,,,M,O,15,16,10.0
MI,02,10,28,0047,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.13,0.01,M,MO,,,M,O,15,7,10
MI,02,11,25,0005,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
MI,02,12,17,0008,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.052,0.01,M,MO,,,M,O,15,7,10
MI,02,12,17,0048,AC,OH1,,AC,171,Dimethoate,C,0.015,0.009,M,D,,Q,M,O,15,2,2
NY,02,07,24,0009,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
NY,02,09,25,0009,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
NY,02,09,25,0201,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
NY,02,11,13,0219,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
OH,02,07,15,0000,AC,OH1,,AC,157,Thiabendazole,B,0.15,0.03,M,D,,,M,O,15,16,10.0
OH,02,08,19,0100,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.042,0.01,M,MO,,,M,O,15,7,10
OH,02,08,19,0118,AC,OH1,,AC,157,Thiabendazole,B,0.19,0.03,M,D,,,M,O,15,16,10.0
OH,02,09,16,0308,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.085,0.01,M,MO,,,M,O,15,7,10
OH,02,11,04,0100,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
OH,02,12,02,0436,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
TX,02,07,15,0020,AC,OH1,,AC,157,Thiabendazole,B,0.16,0.03,M,D,,,M,O,15,16,10.0
TX,02,08,19,0105,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.24,0.01,M,MO,,,M,O,15,7,10
TX,02,09,16,0105,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.12,0.01,M,MO,,,M,O,15,7,10
TX,02,10,07,0105,AC,OH1,,AC,157,Thiabendazole,B,0.11,0.03,M,D,,,M,O,15,16,10.0
TX,02,10,15,0020,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.039,0.01,M,MO,,,M,O,15,7,10
TX,02,11,04,0105,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.089,0.01,M,MO,,,M,O,15,7,10
TX,02,11,04,0201,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
WA,02,07,15,0008,AC,OH1,,AC,157,Thiabendazole,B,0.26,0.03,M,D,,,M,O,15,16,10.0
WA,02,07,15,0032,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
WA,02,07,22,0004,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.055,0.01,M,MO,,,M,O,15,7,10
WA,02,08,19,0001,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.13,0.01,M,MO,,,M,O,15,7,10
WA,02,08,19,0004,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
WA,02,08,19,0004,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
WA,02,08,19,0010,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
WA,02,09,16,0001,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
WA,02,09,16,0001,AC,OH1,,AC,157,Thiabendazole,B,0.11,0.03,M,D,,,M,O,15,16,10.0
WA,02,09,16,0004,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
WA,02,09,16,0004,AC,OH1,,AC,157,Thiabendazole,B,0.11,0.03,M,D,,,M,O,15,16,10.0
WA,02,09,16,0005,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.039,0.01,M,MO,,,M,O,15,7,10
WA,02,10,21,0001,AC,OH1,,AC,157,Thiabendazole,B,0.11,0.03,M,D,,,M,O,15,16,10.0
WA,02,10,21,0001,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.084,0.01,M,MO,,,M,O,15,7,10
WA,02,10,21,0005,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.04,0.01,M,MO,,,M,O,15,7,10
WA,02,10,21,0011,AC,OH1,,AC,157,Thiabendazole,B,0.67,0.03,M,D,,,M,O,15,16,10.0
WA,02,10,21,0023,AC,OH1,,AC,157,Thiabendazole,B,0.12,0.03,M,D,,,M,O,15,16,10.0
WA,02,11,18,0001,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
WA,02,11,18,0004,AC,OH1,,AC,157,Thiabendazole,B,0.13,0.03,M,D,,,M,O,15,16,10.0
WA,02,11,18,0008,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
WA,02,11,18,0008,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
WA,02,12,16,0004,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
WA,02,12,16,0004,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
WA,02,12,16,0010,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.043,0.01,M,MO,,,M,O,15,7,10
WA,02,12,16,0032,AC,OH1,,AC,157,Thiabendazole,B,0.5,0.03,M,D,,,M,O,15,16,10.0
WI,02,07,15,0119,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.29,0.01,M,MO,,,M,O,15,7,10
WI,02,08,19,0118,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.044,0.01,M,MO,,,M,O,15,7,10
CA,02,01,23,0273,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.038,0.01,M,M,,,M,O,15,7,10
CA,02,01,23,0450,AJ,OH1,,AJ,157,Thiabendazole,B,0.12,0.03,M,D,,,M,O,15,16,10.0
CA,02,02,19,0273,AJ,OH1,,AJ,157,Thiabendazole,B,0.13,0.03,M,D,,,M,O,15,16,10.0
CA,02,02,19,0412,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,02,19,0412,AJ,OH1,,AJ,157,Thiabendazole,B,0.2,0.03,M,D,,,M,O,15,16,10.0
CA,02,02,19,0450,AJ,OH1,,AJ,157,Thiabendazole,B,0.34,0.03,M,D,,,M,O,15,16,10.0
CA,02,03,13,0450,AJ,OH1,,AJ,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
CA,02,04,10,0328,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.042,0.01,M,MO,,,M,O,15,7,10
CA,02,04,11,0001,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.047,0.01,M,MO,,,M,O,15,7,10
CA,02,06,12,0273,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,10,23,0358,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,10,23,0412,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CO,02,03,02,0011,AJ,OH1,,AJ,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
FL,02,03,11,0009,AJ,OH1,,AJ,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
FL,02,05,13,0051,AJ,OH1,,AJ,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
FL,02,06,10,0007,AJ,OH1,,AJ,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
FL,02,11,12,0049,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
MD,02,02,19,0005,AJ,OH1,,AJ,157,Thiabendazole,B,0.12,0.03,M,D,,,M,O,15,16,10.0
MD,02,04,10,0005,AJ,OH1,,AJ,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
MI,02,01,14,0001,AJ,OH1,,AJ,157,Thiabendazole,B,0.21,0.03,M,D,,,M,O,15,16,10.0
MI,02,08,12,0021,AJ,OH1,,AJ,157,Thiabendazole,B,0.22,0.03,M,D,,,M,O,15,16,10.0
MI,02,10,14,0021,AJ,OH1,,AJ,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
NY,02,07,09,0127,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
OH,02,03,04,0129,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.037,0.01,M,MO,,,M,O,15,7,10
OH,02,09,03,0308,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.038,0.01,M,MO,,,M,O,15,7,10
TX,02,06,03,0020,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
WA,02,01,07,0001,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,M,,Q,M,O,15,7,10
WA,02,01,07,0008,AJ,OH1,,AJ,157,Thiabendazole,B,0.34,0.03,M,D,,,M,O,15,16,10.0
WA,02,02,04,0004,AJ,OH1,,AJ,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
WA,02,02,04,0010,AJ,OH1,,AJ,157,Thiabendazole,B,0.17,0.03,M,D,,,M,O,15,16,10.0
WA,02,04,01,0008,AJ,OH1,,AJ,157,Thiabendazole,B,0.27,0.03,M,D,,,M,O,15,16,10.0
WA,02,04,01,0010,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.052,0.01,M,MO,,,M,O,15,7,10
WA,02,05,06,0001,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.034,0.01,M,MO,,,M,O,15,7,10
WA,02,05,06,0019,AJ,OH1,,AJ,157,Thiabendazole,B,0.32,0.03,M,D,,,M,O,15,16,10.0
WA,02,07,01,0001,AJ,OH1,,AJ,157,Thiabendazole,B,0.26,0.03,M,D,,,M,O,15,16,10.0
WA,02,08,05,0010,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.074,0.01,M,MO,,,M,O,15,7,10
WA,02,10,07,0001,AJ,OH1,,AJ,157,Thiabendazole,B,0.28,0.03,M,D,,,M,O,15,16,10.0
WA,02,11,04,0010,AJ,OH1,,AJ,157,Thiabendazole,B,0.22,0.03,M,D,,,M,O,15,16,10.0
WA,02,12,02,0010,AJ,OH1,,AJ,042,Azinphos methyl,C,0.022,0.013,M,D,,Q,M,O,15,2,1.5
WA,02,12,02,0010,AJ,OH1,,AJ,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
CA,02,01,29,0010,AP,WA1,,AP,157,Thiabendazole,B,0.38,0.03,M,M,,,M,O,550,15,10.0
CA,02,01,29,0010,AP,WA1,,AP,042,Azinphos methyl,C,0.018,0.011,M,D,M,Q,,O,550,2,1.5
CA,02,01,29,0252,AP,WA1,,AP,042,Azinphos methyl,C,0.081,0.011,M,D,M,,M,O,550,2,1.5
CA,02,01,29,0252,AP,WA1,,AP,157,Thiabendazole,B,0.37,0.03,M,M,,,M,O,550,15,10.0
CA,02,01,30,0017,AP,WA1,,AP,125,Diphenylamine (DPA),F,1.1,0.025,M,MO,,,H,O,553,7,10
CA,02,01,30,0017,AP,WA1,,AP,042,Azinphos methyl,C,0.055,0.011,M,D,M,,M,O,550,2,1.5
CA,02,01,30,0128,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.83,0.025,M,MO,,,H,O,553,7,10
CA,02,01,30,0130,AP,WA1,,AP,157,Thiabendazole,B,0.97,0.03,M,M,,,M,O,550,15,10.0
CA,02,01,30,0130,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.042,0.025,M,MO,,Q,,O,553,7,10
CA,02,01,30,0162,AP,WA1,,AP,157,Thiabendazole,B,0.45,0.03,M,M,,,M,O,550,15,10.0
CA,02,01,30,0162,AP,WA1,,AP,042,Azinphos methyl,C,0.23,0.011,M,D,M,,M,O,550,2,1.5
CA,02,01,30,0215,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.4,0.025,M,MO,,,H,O,553,7,10
CA,02,01,30,0230,AP,WA1,,AP,042,Azinphos methyl,C,0.039,0.011,M,D,M,,M,O,550,2,1.5
CA,02,01,30,0230,AP,WA1,,AP,157,Thiabendazole,B,0.6,0.03,M,M,,,M,O,550,15,10.0
CA,02,01,30,0274,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.042,0.025,M,MO,,Q,,O,553,7,10
CA,02,01,30,0276,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.98,0.025,M,MO,,,H,O,553,7,10
CA,02,01,30,0276,AP,WA1,,AP,157,Thiabendazole,B,0.24,0.03,M,M,,,M,O,550,15,10.0
CA,02,01,30,0399,AP,WA1,,AP,042,Azinphos methyl,C,0.097,0.011,M,D,M,,M,O,550,2,1.5
CA,02,01,30,0399,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.42,0.025,M,MO,,,H,O,553,7,10
CA,02,02,06,0128,AP,WA1,,AP,157,Thiabendazole,B,0.29,0.03,M,M,,,M,O,550,15,10.0
CA,02,02,06,0128,AP,WA1,,AP,042,Azinphos methyl,C,0.076,0.011,M,D,M,,M,O,550,2,1.5
CA,02,02,06,0130,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.41,0.025,M,MO,,,H,O,553,7,10
CA,02,02,06,0136,AP,WA1,,AP,157,Thiabendazole,B,0.14,0.03,M,M,,,M,O,550,15,10.0
CA,02,02,06,0216,AP,WA1,,AP,157,Thiabendazole,B,1.5,0.03,M,M,,,M,O,550,15,10.0
CA,02,02,06,0223,AP,WA1,,AP,083,O-Phenylphenol,I,0.042,0.025,M,MO,,Q,,O,553,7,25.0
CA,02,02,06,0230,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.24,0.025,M,MO,,,H,O,553,7,10
CA,02,02,06,0230,AP,WA1,,AP,165,Phosmet,C,0.022,0.013,M,D,,Q,,O,550,2,10.0
CA,02,02,06,0252,AP,WA1,,AP,157,Thiabendazole,B,0.23,0.03,M,M,,,M,O,550,15,10.0
CA,02,03,25,0038,AP,WA1,,AP,157,Thiabendazole,B,0.35,0.03,M,M,,,M,O,550,15,10.0
CA,02,03,25,0038,AP,WA1,,AP,042,Azinphos methyl,C,0.018,0.011,M,D,M,Q,,O,550,2,1.5
CA,02,03,25,0077,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.45,0.025,M,MO,,,H,O,553,7,10
CA,02,03,25,0077,AP,WA1,,AP,042,Azinphos methyl,C,0.039,0.011,M,D,M,,M,O,550,2,1.5
CA,02,03,25,0094,AP,WA1,,AP,042,Azinphos methyl,C,0.018,0.011,M,D,M,Q,,O,550,2,1.5
CA,02,03,25,0094,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.92,0.025,M,MO,,,H,O,553,7,10
CA,02,03,25,0130,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.33,0.025,M,MO,,,H,O,553,7,10
CA,02,03,25,0130,AP,WA1,,AP,102,Carbaryl,E,0.035,0.021,M,M,,Q,,O,553,12,10
CA,02,03,25,0215,AP,WA1,,AP,157,Thiabendazole,B,0.4,0.03,M,M,,,M,O,550,15,10.0
CA,02,03,25,0215,AP,WA1,,AP,042,Azinphos methyl,C,0.15,0.011,M,D,M,,M,O,550,2,1.5
CA,02,03,25,0217,AP,WA1,,AP,157,Thiabendazole,B,1.4,0.03,M,M,,,M,O,550,15,10.0
CA,02,03,25,0217,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.3,0.025,M,MO,,,H,O,553,7,10
CA,02,03,25,0217,AP,WA1,,AP,901,Endosulfan II,A,0.007,0.004,M,D,,Q,,O,551,1,2.0
CA,02,03,25,0223,AP,WA1,,AP,011,Captan,A,0.02,0.012,M,D,M,Q,,O,551,1,25.0
CA,02,03,25,0278,AP,WA1,,AP,157,Thiabendazole,B,3.7,0.03,M,M,,,M,O,550,15,10.0
CA,02,03,25,0278,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.59,0.025,M,MO,,,H,O,553,7,10
CA,02,03,25,0368,AP,WA1,,AP,165,Phosmet,C,0.045,0.013,M,D,M,,M,O,550,2,10.0
CA,02,03,25,0368,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.042,0.025,M,MO,,Q,,O,553,7,10
CA,02,03,25,0368,AP,WA1,,AP,157,Thiabendazole,B,0.35,0.03,M,M,,,M,O,550,15,10.0
CA,02,03,25,0417,AP,WA1,,AP,157,Thiabendazole,B,0.3,0.03,M,M,,,M,O,550,15,10.0
CA,02,03,25,0439,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.5,0.025,M,MO,,,H,O,553,7,10
CA,02,03,25,0439,AP,WA1,,AP,157,Thiabendazole,B,0.47,0.03,M,M,,,M,O,550,15,10.0
CA,02,03,25,0447,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.38,0.025,M,MO,,,H,O,553,7,10
CA,02,03,25,0447,AP,WA1,,AP,102,Carbaryl,E,0.1,0.021,M,M,,,M,O,553,12,10
CA,02,03,26,0450,AP,WA1,,AP,901,Endosulfan II,A,0.025,0.004,M,D,,,M,O,551,1,2.0
CA,02,03,26,0450,AP,WA1,,AP,900,Endosulfan I,A,0.016,0.004,M,D,,,M,O,551,1,2.0
CA,02,03,26,0450,AP,WA1,,AP,902,Endosulfan sulfate,A,0.008,0.005,M,D,,Q,,O,551,1,2.0
CA,02,03,26,0450,AP,WA1,,AP,157,Thiabendazole,B,1.3,0.03,M,M,,,M,O,550,15,10.0
CA,02,04,22,0004,AP,WA1,,AP,157,Thiabendazole,B,0.53,0.03,M,M,,,M,O,550,15,10.0
CA,02,04,22,0004,AP,WA1,,AP,042,Azinphos methyl,C,0.041,0.011,M,D,M,,M,O,550,2,1.5
CA,02,04,22,0055,AP,WA1,,AP,157,Thiabendazole,B,3.0,0.03,M,M,,,M,O,550,15,10.0
CA,02,04,22,0060,AP,WA1,,AP,102,Carbaryl,E,0.22,0.021,M,M,,,M,O,553,12,10
CA,02,04,22,0060,AP,WA1,,AP,125,Diphenylamine (DPA),F,0.042,0.025,M,MO,,Q,,O,553,7,10
CA,02,04,22,0060,AP,WA1,,AP,042,Azinphos methyl,C,0.018,0.011,M,D,M,Q,,O,550,2,1.5
CA,02,04,22,0128,AP,WA1,,AP,157,Thiabendazole,B,0.49,0.03,M,M,,,M,O,550,15,10.0
